section,number,semester,year
CHEM,102,F,1
CHEM,103,F,1
MATH,221,F,1
RHET,105,F,1
ENG,100,F,1
ECE,110,F,1
ECE,120,S,1
MATH,231,S,1
ECON,102,S,1
PHYS,211,S,1
PSYC,100,S,1
MATH,241,F,2
PHYS,212,F,2
ECE,220,F,2
HIST,100,F,2
PHYS,213,S,2
PHYS,214,S,2
ECE,210,S,2
MATH,286,S,2
ECON,103,S,2
ECE,313,F,3
ECE,329,F,3
HIST,172,F,3
ECE,415,F,3
ECE,422,F,3
ECE,340,S,3
ECE,385,S,3
ECE,418,S,3
ECE,463,S,3
HIST,106,S,3
ECE,445,F,4
ECE,428,F,4
ECE,402,F,4
ECE,476,F,4
MATH,461,F,4
ECE,498,S,4
ECE,391,S,4
ECE,403,S,4
ECE,411,S,4
ECE,414,S,4